trackID,acousticness,danceability,duration_ms,energy,instrumentalness,a_key,liveness,loudness,a_mode,speechiness,tempo,time_signature,valence,category
4pNQI9kRooisUKtLBPUg3X,0.002430,0.420000,229813,0.740000,0.000000,1,0.121000,-3.613000,1,0.035600,175.940000,4,0.629000,punk
3JffB4CABj9lA0NC63kbCp,0.326000,0.616000,190987,0.697000,0.000022,3,0.082700,-5.952000,1,0.029500,148.930000,4,0.686000,country
1WTbOb9bzd2Ym3xh0ZPzZ4,0.002010,0.532000,175173,0.913000,0.000029,2,0.292000,-3.141000,1,0.039700,112.003000,4,0.633000,punk
5jZ1Z2GFTf2gwmFc3qiUxs,0.001430,0.541000,208693,0.904000,0.000000,7,0.193000,-3.001000,1,0.043500,98.122000,4,0.508000,punk
1FRiw6QtV6uFUd8qLt5oe3,0.000912,0.521000,226213,0.803000,0.000000,2,0.316000,-6.220000,1,0.034000,117.995000,4,0.613000,country
3UZ9aPaYlBBlAvpdh3kK0U,0.016500,0.443000,223800,0.804000,0.000003,10,0.181000,-6.432000,1,0.040600,151.928000,4,0.437000,country
1IRJQz1tRQQPo8BS6oW5Rl,0.000036,0.422000,203470,0.882000,0.056400,4,0.095200,-4.827000,1,0.038600,166.009000,4,0.257000,punk
7IfckgnBsIdP4XE4tfWEDN,0.019200,0.576000,199253,0.940000,0.000000,9,0.133000,-3.003000,1,0.118000,97.876000,4,0.841000,punk
5baj6SbrPOdg1BIQzBKYNL,0.127000,0.386000,208827,0.639000,0.000000,10,0.081700,-7.964000,1,0.035100,151.385000,4,0.279000,country
5nNyAzZuu15JkLVwb6Yple,0.106000,0.507000,214107,0.597000,0.000000,2,0.109000,-4.315000,1,0.045300,135.826000,4,0.357000,country
2fbnRsbMdmCyKLCti2ND9e,0.002120,0.582000,233147,0.710000,0.000209,6,0.130000,-4.093000,1,0.041300,130.015000,4,0.547000,punk
0ZIwjMbQJeZU8dT0NBEeeT,0.441000,0.502000,215733,0.537000,0.000000,5,0.127000,-3.950000,1,0.029100,80.762000,4,0.362000,country
4v3eMaoMKy7iHaMs9mlbuH,0.846000,0.447000,208120,0.361000,0.014500,4,0.141000,-10.351000,1,0.033400,124.677000,4,0.056500,country
6vFD3c1WI1zuKoyk22dMw3,0.060100,0.686000,203027,0.840000,0.000005,1,0.164000,-5.142000,1,0.159000,105.000000,4,0.726000,punk
2HglfFsrc7HeIENTFS8JPj,0.003830,0.458000,163947,0.875000,0.000000,1,0.085500,-3.962000,1,0.147000,128.024000,4,0.561000,punk
49VABlkfVgou7CtOpJfT65,0.009140,0.601000,255779,0.727000,0.006550,1,0.168000,-7.568000,0,0.032600,127.958000,4,0.425000,country
1wuPPQW5mH45HzN9OnBO5C,0.797000,0.368000,232067,0.202000,0.000000,2,0.110000,-11.807000,1,0.029600,105.936000,5,0.304000,country
5Ar5fDBEh3BQKR1TTz1qP0,0.040800,0.543000,228373,0.828000,0.000001,1,0.113000,-5.948000,1,0.038300,139.951000,4,0.332000,country
399HLYCZW6h2lyIsZuU0BE,0.001200,0.605000,188427,0.767000,0.000000,7,0.086700,-5.663000,1,0.044600,91.901000,4,0.817000,country
6x40JEfKbAOw32gxA2eqLh,0.000211,0.227000,116253,0.884000,0.000016,7,0.303000,-6.415000,1,0.065000,93.912000,4,0.396000,punk
2eLgWJTe2jcYHCED69LjGU,0.000361,0.333000,220000,0.978000,0.390000,10,0.241000,-3.594000,1,0.133000,189.942000,4,0.116000,punk
4z1gmF4S1YsTj1pxiU47Qx,0.213000,0.706000,240547,0.621000,0.002080,5,0.253000,-6.797000,1,0.038600,126.028000,4,0.771000,punk
0FImli3RNN8VB3y8EYn2Xc,0.011500,0.641000,253200,0.758000,0.000036,6,0.176000,-7.320000,1,0.029200,113.027000,4,0.608000,country
05Yh8eSAMCnkSW8CNEKD5y,0.000014,0.208000,188293,0.940000,0.000000,6,0.089100,-4.975000,0,0.095700,188.119000,4,0.467000,punk
6jdZVYseGIfcRjOOKqiRFw,0.006330,0.359000,181440,0.872000,0.000008,2,0.096500,-6.646000,0,0.129000,104.166000,4,0.210000,punk
5IXeOf1hqORwp8b6c1Asqa,0.001000,0.287000,234267,0.846000,0.000589,4,0.217000,-7.480000,1,0.115000,96.999000,4,0.295000,punk
